id,dimension,priority,status,artifacts,tests,evidence,note,in_remediation_scope
INV-38-C001,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C002,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C003,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C004,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C005,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C006,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C007,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C008,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C009,Architecture & Scope,P1,IN_PROGRESS,docs/OWNERSHIP.md;.github/CODEOWNERS;ops/escalation.yaml,tests/test_governance.py,ci/repo-integrity check,Escalation-drill (C009-T07) evidence needs a live paging integration.,True
INV-38-C010,Architecture & Scope,P1,IN_PROGRESS,docs/adr/ADR-0038-kernel-bypass-backend.md;architecture/rdma-decision-record.yaml,tests/test_artifacts_present.py,ADR reviewed+versioned,Backend benchmark evidence (C010-T07) needs RDMA hardware.,True
INV-38-C011,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C012,Requirements & Semantics,P1,IN_PROGRESS,specs/deployment-contexts.md;specs/deployment-contexts.yaml,tests/test_deployment_contexts.py,profile schema validated,Per-context conformance across real NIC/SR-IOV needs hardware.,True
INV-38-C013,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C014,Requirements & Semantics,P1,DONE,specs/outcome-semantics.md;schemas/outcome-v1.schema.json;outcomes.py,tests/test_outcomes.py,table-driven reason-code stability,Outcome model fully realized and tested at model scope.,True
INV-38-C015,Requirements & Semantics,P1,DONE,specs/lifecycle-state-machine.md;schemas/lifecycle-v1.schema.json;lifecycle.py,tests/test_lifecycle.py,model-based legal/illegal transitions,Lifecycle state machine + illegal-transition tests pass.,True
INV-38-C016,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C017,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C018,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C019,Requirements & Semantics,P1,DONE,policy/constraint-precedence.md;policy/constraint-precedence.yaml;precedence.py,tests/test_precedence.py,pairwise conflict determinism,Precedence lattice + decision-table tests pass.,True
INV-38-C020,Requirements & Semantics,P1,DONE,traceability/INV38_RTM.csv;traceability/INV38_RTM.json;rtm_tools.py,tests/test_rtm.py,"100 unique IDs, no PASS w/o evidence",RTM generated from canonical data + CI validator.,True
INV-38-C021,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C022,Interfaces & Integration,P0,IN_PROGRESS,schemas/pk_bypass_mr_v1.schema.json;schemas/pk_bypass_post_v1.schema.json;schemas/pk_bypass_cq_v1.schema.json;schemas/pk_bypass_error_v1.schema.json;schemas/golden/,tests/test_schemas_golden.py,golden valid/boundary/malformed vectors,Multi-language binding generation (C022-T07) needs a real IDL toolchain.,True
INV-38-C023,Interfaces & Integration,P0,IN_PROGRESS,security/authentication.md;security/trust-roots.yaml;authz.py,tests/test_authz.py,negative authn tests (model),Real credential/trust-root integration needs identity service.,True
INV-38-C024,Interfaces & Integration,P0,IN_PROGRESS,security/authorization.md;security/capabilities.yaml;authz.py,tests/test_authz.py,cross-tenant/denial tests (model),OS/device-layer least privilege (VF/IOMMU) needs hardware.,True
INV-38-C025,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C026,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C027,Interfaces & Integration,P1,IN_PROGRESS,compatibility/protocol-negotiation.md;compatibility/version-policy.yaml;negotiation.py,tests/test_negotiation.py,N/N-1 downgrade-protection tests,Real-backend adapter transcripts needed for full matrix.,True
INV-38-C028,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C029,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C030,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C031,Implementation & Configuration,P0,BLOCKED,platform/rdma-stack.lock.yaml;platform/hardware-qualification.yaml;platform/provider-matrix.md;platform/preflight.py,tests/test_preflight.py,preflight refuses missing stack (model),Hardware/firmware/driver qualification requires physical RDMA NICs + IOMMU.,True
INV-38-C032,Implementation & Configuration,P1,DONE,architecture/artifact-config-state-boundary.md;config/layout.schema.json,tests/test_config_layout.py,startup drift detection,Boundary documented + layout schema + drift check tested.,True
INV-38-C033,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C034,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C035,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C036,Implementation & Configuration,P1,DONE,config/provenance.schema.json;config/history/README.md;config_provenance.py,tests/test_config_provenance.py,provenance bind + redaction tests,Provenance schema + redaction + history tested.,True
INV-38-C037,Implementation & Configuration,P1,DONE,config/transaction-protocol.md;config/transaction.schema.json;config_txn.py,tests/test_config_txn.py,atomic commit + rollback fault-injection,Prepare/validate/stage/commit txn engine + fault tests.,True
INV-38-C038,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C039,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C040,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C041,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C042,"Security, Trust & Isolation",P0,IN_PROGRESS,security/least-privilege.md;security/privilege-matrix.yaml;privilege_check.py,tests/test_privilege.py,capability inventory static check,Runtime privilege drop enforcement needs a real OS deployment.,True
INV-38-C043,"Security, Trust & Isolation",P0,IN_PROGRESS,security/ambient-authority-inventory.yaml;security/sandbox-profile.json;privilege_check.py,tests/test_privilege.py,ambient-authority self-check (model),Sandbox-escape tests need a real sandboxed host.,True
INV-38-C044,"Security, Trust & Isolation",P0,IN_PROGRESS,security/trust-bootstrap.md;security/peer-auth-policy.yaml;authz.py,tests/test_authz.py,forged/expired identity tests (model),Peer/provider mutual auth needs live identities/attestation.,True
INV-38-C045,"Security, Trust & Isolation",P0,DONE,supply-chain/verification-policy.yaml;sbom/inv38.sbom.json;provenance/build-provenance.json;supply_chain.py,tests/test_supply_chain.py,tamper-detection blocks activation,SBOM + provenance + signed-manifest verify + tamper tests in-repo.,True
INV-38-C046,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C047,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C048,"Security, Trust & Isolation",P0,IN_PROGRESS,security/dependency-outage-semantics.md;security/fail-safe-matrix.yaml;failsafe.py,tests/test_failsafe.py,cache-age bound + fail-closed tests (model),Live KMS/attestation/time outage behaviour needs those services.,True
INV-38-C049,"Security, Trust & Isolation",P0,DONE,audit/event.schema.json;audit/integrity.md;audit_log.py,tests/test_audit_log.py,delete/insert/reorder/tamper all detected,Hash-chained audit log + offline verifier + injection tests.,True
INV-38-C050,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C051,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C052,Resilience & Failure Handling,P0,IN_PROGRESS,resilience/health-stall-detection.md;resilience/thresholds.yaml;health_stall.py,tests/test_health_stall.py,synthetic stall detection (model),Real device-reset/stall detection latency needs hardware.,True
INV-38-C053,Resilience & Failure Handling,P0,DONE,resilience/retry-policy.yaml;resilience/retry-safety-matrix.md;retry.py,tests/test_retry.py,no retry storm / no dup completion,"Bounded retry+backoff+jitter engine, deterministic tests.",True
INV-38-C054,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C055,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C056,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C057,Resilience & Failure Handling,P0,IN_PROGRESS,resilience/state-recovery.md;schemas/recovery-checkpoint-v1.schema.json;recovery.py,tests/test_recovery.py,generation/epoch stale rejection (model),Real crash/device-reset recovery needs hardware.,True
INV-38-C058,Resilience & Failure Handling,P0,IN_PROGRESS,resilience/ownership-fencing.md;resilience/lease-epoch.schema.json;fencing.py,tests/test_fencing.py,stale-epoch rejection (model),True partition/fencing needs a multi-node cluster.,True
INV-38-C059,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C060,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C061,Performance & Resource Efficiency,P1,BLOCKED,benchmarks/baseline-plan.yaml;benchmarks/baseline-results.json;benchmarks/environment.json,tests/performance/README.md,plan + kernel-path model harness only,Reproducible latency/throughput/power baselines require RDMA hardware.,True
INV-38-C062,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C063,Performance & Resource Efficiency,P1,BLOCKED,benchmarks/scenarios.yaml;benchmarks/load-results/README.md,tests/performance/README.md,scenario definitions only,Steady/burst/overload campaign requires hardware + load infra.,True
INV-38-C064,Performance & Resource Efficiency,P1,BLOCKED,benchmarks/tenant-overhead.yaml;benchmarks/tenant-overhead-results.json,,plan only,Per-tenant overhead measurement requires hardware.,True
INV-38-C065,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C066,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C067,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C068,Performance & Resource Efficiency,P1,BLOCKED,benchmarks/power-thermal-plan.yaml;benchmarks/power-thermal-results.json,,plan only,Power/thermal measurement requires calibrated edge hardware.,True
INV-38-C069,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C070,Performance & Resource Efficiency,P0,IN_PROGRESS,ci/performance-gate.yaml;benchmarks/approved-baseline.json;perf_gate.py,tests/test_perf_gate.py,regression diff + fail logic tested,Gate mechanism done+tested; approved baseline BLOCKED on hardware (C061).,True
INV-38-C071,Observability & Explainability,P1,DONE,observability/health.schema.json;observability/status-contract.md;status.py,tests/test_status.py,liveness/readiness + dep-stale tests,"Health/readiness snapshot, secret-free, generation-consistent.",True
INV-38-C072,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C073,Observability & Explainability,P1,DONE,observability/logging.schema.json;observability/logging-policy.md;logging_schema.py,tests/test_logging.py,redaction + control-char escape tests,Structured log schema + redaction + injection safety tested.,True
INV-38-C074,Observability & Explainability,P1,IN_PROGRESS,observability/tracing.md;observability/trace-propagation-tests/README.md;tracing.py,tests/test_tracing.py,baggage sanitize + span map (model),Cross-boundary trace continuity needs adjacent live components.,True
