# ID | status P=partial(implemented+evidence, unreviewed) B=blocked N=not started | evidence (T:Class.test, F:path, E:evidence file) | note
# A P line whose T: evidence fails or whose F:/E: is missing is automatically downgraded to B by tools/release.py.
U01|B||HUMAN: no engineering owner, security or operations reviewer can be assigned by the builder
U02|P|F:docs/MASTER.md;F:docs/THREAT_MODEL.md;F:docs/COMPATIBILITY.md|program-level scope/assumptions; per-component deployment modes not all defined
U03|P|F:docs/SPEC.md|SHALL statements generated mechanically from checklist items; not yet atomic/reviewed
U04|P|F:docs/MASTER.md;F:docs/THREAT_MODEL.md|component diagram + trust boundaries; no state diagrams per component
U05|P|F:schemas/PK_ATTESTATION_1.schema.json;F:docs/ERROR_CATALOG.md;F:docs/MASTER.md|
U06|P|F:docs/CONFIG.md;T:OpsTest.test_config|
U07|P|F:docs/THREAT_MODEL.md|draft, unreviewed
U08|P|T:EndToEndTest.test_no_policy_fails_closed;T:VerifierTest.test_internal_error_never_trusts;T:EndToEndTest.test_unbound_evidence_cannot_quarantine|
U09|P|E:evidence/fuzz.json;T:AdmissionTest.test_per_principal_global_and_bounded;T:ReplayTest.test_bounded_retention_and_post_prune_replay|idempotency rows are unbounded (evidence/bench.json)
U10|P|T:ErrorsSchemasTest.test_registry_and_redaction;T:TransportMtlsTest.test_mutual_tls_roundtrip|at-rest encryption not implemented
U11|P|T:QuoteParserTest.test_truncation_every_offset;T:DurableStoreTest.test_torn_tail_truncated|
U12|B||INFRA: no production-equivalent dependencies (real TPMs, database, KMS, peers)
U13|P|T:ConcurrencyTest.test_racing_consumers_one_winner;T:DurableStoreTest.test_torn_tail_truncated;T:OpsTest.test_quarantine_outbox_acks|in-process only
U14|P|T:OpsTest.test_telemetry;F:docs/OBSERVABILITY.md|no dashboards/alert deployment
U15|P|F:docs/CAPACITY.md;E:evidence/bench.json|
U16|P|F:docs/RUNBOOKS.md|never executed in staging
U17|P|E:evidence/EVIDENCE_MANIFEST.json|no source commit (archive is not a git repo); signing key is ephemeral
U18|P|F:CHECKLIST_STATUS.md|
U19|P|F:governance/WAIVERS.json|register exists and is empty; vulnerability review needs an advisory feed
U20|B||HUMAN: independent code/security/operations review and a formal exit-gate approval cannot be performed by the builder
01.01|P|F:mc/verifier.py;F:docs/COMPATIBILITY.md|matrix published; every hardware row untested
01.02|P|T:VerifierTest.test_positive;T:VerifierTest.test_negative_vectors|envelope binds nonce, AK name, PCR selection/digest, clock/reset/restart, firmware; device identity via enrollment
01.03|P|T:QuoteParserTest.test_trailing_bytes;T:QuoteParserTest.test_bad_magic;T:QuoteParserTest.test_truncation_every_offset;T:QuoteParserTest.test_duplicate_bank_and_illegal_select;E:evidence/fuzz.json|
